58660,9565,9912
87631,12487,66875
84510,67581,57621
75066,51710,19906
90551,35141,1233
67277,94030,35458
99544,44381,29558
46811,28327,92124
81278,66135,49048
2233,39855,69048
31220,37287,28119
11512,32739,79167
96906,48754,47378
27411,14515,79573
80512,65088,49799
41761,93214,84212
2708,72096,76137
55492,70772,45928
7384,92272,92114
47187,87691,89025
69056,11798,76593
67682,28668,84337
15229,86834,2166
29572,75772,19442
21929,23847,29888
83650,18280,94388
55633,81875,6568
82254,75291,18005
54460,33227,27619
87859,8769,3321
64227,79505,97179
36247,28700,47242
42626,90161,31483
94847,84021,72949
96679,92647,66811
78252,97146,70987
88391,89291,50371
55687,77579,51357
53764,3911,82666
75717,48481,40615
581,72803,15449
4436,19500,68051
95973,69627,71057
3094,57388,88735
5809,93287,77413
84200,59603,1470
30131,30534,69505
543,22977,297
9034,63871,54624
74407,35101,23776
54785,31741,96797
32597,91191,65167
31100,7368,18689
15697,26926,24053
28446,57002,49413
88222,79782,96955
85688,60099,56622
27869,65054,68815
48725,53585,65935
55819,73872,39571
2966,34414,10299
75534,76512,11910
23777,52007,8059
64716,45686,39886
5200,83484,77673
21308,34454,65213
75580,61719,96305
48663,56333,85839
20333,96823,2508
37921,37329,80187
32135,71538,55987
13688,97643,42781
23044,31143,65043
28593,84350,28491
59929,78848,79915
81962,3593,45164
95669,12271,73412
34266,88910,59992
25473,70691,90986
1398,2546,48693
40589,35228,1438
21216,92655,28251
94536,43913,92780
16220,40947,32286
74436,14107,2879
32373,78192,18683
18291,71141,68501
62831,6840,77132
26990,56004,83886
19223,82214,72203
77937,40101,27665
5646,37057,88488
23653,36044,36349
21930,48469,38316
73750,40584,91573
44792,47706,66557
81199,57847,25559
36596,32882,4769
33863,76172,49329
88876,74785,56954
8673,87105,10029
58220,43268,66680
64449,95962,38506
86130,15006,5089
6960,28969,21780
53542,11815,14013
71327,89251,2074
82943,79112,17912
65231,83544,97726
41880,18737,22607
7039,57305,25083
34162,97617,71321
85025,1076,71256
16209,5423,37663
64197,69358,51404
20591,86764,42215
33717,79548,75270
47766,90798,88907
70888,53257,48652
49502,99051,45472
60214,4961,90061
91799,77534,90266
95976,47466,15575
78941,54395,2529
54341,48003,80934
60638,57905,62357
38758,13116,83751
39201,5364,98843
16025,62178,99415
93856,91327,99302
29300,39746,38587
39817,11261,21275
25505,6436,79717
29359,76620,50504
72217,73236,93183
79972,33423,26745
86624,61503,8630
38682,17423,38144
20264,903,73855
98651,68273,33780
3123,61495,15566
14694,25585,9901
6082,78111,84568
49720,79469,56475
54941,1756,51753
99452,7306,78246
5267,9163,87337
99990,98139,3769
66076,57920,58799
78539,73576,9514
64617,68246,80392
76235,26691,37890
6374,99903,70609
89481,39819,51778
42398,84442,50346
22976,1031,46417
92155,64892,26003
44562,69441,76588
57595,18149,79427
37069,56149,9297
50343,64968,67791
30442,48988,19139
90715,29637,75544
69999,66768,91606
79992,14071,66544
76475,18317,69134
4042,37962,26076
86422,24321,81073
45031,13780,73404
58850,82705,54820
25862,38013,56858
15470,19278,73651
22885,72552,29748
70088,85035,2286
19711,58991,43413
78236,59368,55384
56627,34659,85711
49457,74357,84772
53326,69235,95595
15954,57927,88628
81583,69772,13186
35142,31138,76521
21320,69586,57908
6609,62390,10050
80937,37893,1943
67868,2661,14484
73844,63480,41971
92427,78756,24299
68384,67356,69089
9708,39545,52915
90379,5065,35600
3613,65486,17519
56447,36565,41801
52111,61753,21032
49535,53014,88407
48229,19275,38171
38884,24927,84204
7547,49494,18888
2970,57646,86044
21236,16078,25054
81666,37107,26439
17079,97117,10897
34144,70890,6353
83587,69549,37086
62452,47040,46233
77721,92789,41868
87235,41417,83604
62291,81374,63137
7754,11912,70320
88173,4476,59945
